Feature,Mean_SHAP,Fraud_direction
V10,3.7302229739197723,-3.7293512522984833
V14,2.839827609592709,-2.7516314790417433
V4,2.064668024481415,0.9004940089567223
V12,1.3000482956090031,-1.084035449509702
V3,0.7743994097140663,-0.6736973673478299
time_gap,0.7695187553536171,-0.7368012310638614
V11,0.7666924935516182,-0.6831607275383383
V1,0.6221980149917271,-0.2924592040247904
is_round_amount,0.5287389925527536,-0.08928162599026825
amount_bucket,0.47478197279048223,-0.2863438022943206
V7,0.4719481078576966,-0.328398457226768
V16,0.34982000962144777,-0.28912766349820235
V17,0.3318016955152528,-0.3045670242483146
V8,0.31263371379742766,0.0698394812665804
V24,0.305539307546563,-0.11348755256676013
V15,0.29147970534433676,-0.07439030054248927
V2,0.2709360449783126,0.13021436174722084
hour_x_amount,0.25177760545766753,-0.03341427694013352
V9,0.24117747530344727,-0.14540070715203984
V13,0.21865840661646596,-0.03993257593394152
V18,0.21502705922860973,-0.030278846712065457
V22,0.2013614541823045,-0.03332019070015454
V26,0.1981561767320447,-0.05145516812729744
V6,0.19685794275587046,-0.012235010407840759
amount_deviation,0.19246576475248134,-0.058029953935903864
Amount,0.18615404508455086,0.04971518507260679
V25,0.16193660637682575,0.0074733212899531
rolling_std_amt_10,0.15816637049887405,-0.0420548447154055
V27,0.15513604413044832,0.050224014441416845
rolling_avg_amt_10,0.13762395563704946,-0.010875982365777031
V19,0.1272250822505393,-0.03357504088065442
V28,0.12158296224261543,0.06493061861330562
Hour,0.11090936113327776,0.020594760370014356
V21,0.10775721215570283,-0.07503291134119607
V5,0.10716949599726867,0.04103917343675857
V20,0.08710407380701052,0.019941383511913057
V23,0.04882720859009516,0.013704312549136196
rolling_count_10,0.0,0.0
