iter	Logloss
0	0.5091073999
1	0.3821048528
2	0.2885864391
3	0.2387384951
4	0.2012606829
5	0.1712871977
6	0.1520845812
7	0.1349654021
8	0.1213032516
9	0.1105056675
10	0.1036709591
11	0.09958741558
12	0.09520382298
13	0.08995796431
14	0.08552243477
15	0.08260201511
16	0.08000344685
17	0.07727372828
18	0.07577259411
19	0.07346126305
20	0.07212926091
21	0.06547006141
22	0.06387378285
23	0.06253820859
24	0.0608641812
25	0.05971674822
26	0.05836954744
27	0.05729126617
28	0.05613458
29	0.05556520916
30	0.05449706855
31	0.05387160959
32	0.05050771922
33	0.04948366417
34	0.04858357113
35	0.04789869384
36	0.04721516266
37	0.04652781794
38	0.04584236848
39	0.04512111031
40	0.04448279584
41	0.04374990249
42	0.04331534877
43	0.04174762813
44	0.04109811385
45	0.04036752086
46	0.03973141569
47	0.03936377031
48	0.03893810575
49	0.03797080683
50	0.03748163386
51	0.03698618631
52	0.03645781277
53	0.03601930969
54	0.03557701062
55	0.03517465812
56	0.03474099261
57	0.03420300233
58	0.03389876591
59	0.03361545951
60	0.03298017598
61	0.0326138067
62	0.03226239275
63	0.03191826415
64	0.03145964992
65	0.02996144372
66	0.02901269897
67	0.02878154551
68	0.02850078231
69	0.02824796271
70	0.02794786676
71	0.02767829551
72	0.0273271915
73	0.02706276088
74	0.02646105877
75	0.02618861431
76	0.02589138028
77	0.02565593807
78	0.02534926269
79	0.02503687602
80	0.02480306559
81	0.02452542689
82	0.02424782109
83	0.02389053164
84	0.02362876667
85	0.02338332893
86	0.0232244183
87	0.02299338512
88	0.02281754937
89	0.0226530801
90	0.02225148276
91	0.0220374025
92	0.02183633735
93	0.02166348823
94	0.0214939521
95	0.02135541842
96	0.02110844564
97	0.0209826002
98	0.02057642515
99	0.02025400957
100	0.02005224639
101	0.01985431158
102	0.0194998523
103	0.01913857203
104	0.01882200006
105	0.01861217121
106	0.01850495172
107	0.01835778032
108	0.01818551371
109	0.01804675477
110	0.01788564769
111	0.01776724285
112	0.0175420758
113	0.01732353474
114	0.01717155096
115	0.01698705177
116	0.01683391607
117	0.01669265393
118	0.01651002341
119	0.01637212819
120	0.01628365748
121	0.01603669944
122	0.01591888327
123	0.01577821196
124	0.01561376231
125	0.01538457462
126	0.01526623471
127	0.01519517074
128	0.01510401617
129	0.01498991607
130	0.0148156241
131	0.01470861399
132	0.01452536061
133	0.01445043451
134	0.01434712795
135	0.01418853644
136	0.01406115053
137	0.01400481482
138	0.01392064399
139	0.01384787227
140	0.01367053868
141	0.01352757445
142	0.01342952256
143	0.01331013286
144	0.01315946068
145	0.0130827067
146	0.01300115066
147	0.01292186321
148	0.01285304826
149	0.01275230594
150	0.01268501033
151	0.01258612344
152	0.01217129794
153	0.01212108229
154	0.01202627334
155	0.0118828311
156	0.01179792508
157	0.0116772523
158	0.01162119925
159	0.01153397465
160	0.01142591771
161	0.01118291362
162	0.01095512604
163	0.01090410106
164	0.010843354
165	0.01067773117
166	0.01063600867
167	0.01048144263
168	0.01017980354
169	0.01009694936
170	0.01001258805
171	0.009951320689
172	0.009891900936
173	0.00985299526
174	0.009805934159
175	0.009737682334
176	0.009698801721
177	0.009622528163
178	0.009551581307
179	0.009442954225
180	0.009341192124
181	0.009297864207
182	0.009242440202
183	0.009170459005
184	0.00911305008
185	0.009050568267
186	0.008996318519
187	0.008917813021
188	0.0088470704
189	0.008784441584
190	0.008749838927
191	0.00869598591
192	0.008666170378
193	0.008626219791
194	0.008549832807
195	0.008497128702
196	0.008451967222
197	0.008365152332
198	0.008297094417
199	0.00824621105
200	0.008217437998
201	0.008193555952
202	0.008131653754
203	0.008059787773
204	0.008015754817
205	0.007969471437
206	0.007897357941
207	0.007862997397
208	0.007793470575
209	0.007764235786
210	0.00775034685
211	0.007691618609
212	0.007526171383
213	0.007467878497
214	0.007309821641
215	0.007289109836
216	0.007232330283
217	0.00720783361
218	0.007172689251
219	0.007133708207
220	0.007095137706
221	0.007017795346
222	0.00698043507
223	0.006953640196
224	0.006905809868
225	0.006874921054
226	0.006791655441
227	0.006760762765
228	0.006749626793
229	0.006709575994
230	0.006658895215
231	0.006628536948
232	0.006582276058
233	0.006558027489
234	0.00653243565
235	0.006489738658
236	0.006452502001
237	0.006392891843
238	0.006376022596
239	0.006339714552
240	0.006278785133
241	0.006255092745
242	0.006217914309
243	0.006202299873
244	0.006160600931
245	0.006149714523
246	0.00610703444
247	0.006069243245
248	0.00603608817
249	0.006014915765
250	0.005897545785
251	0.005800110457
252	0.005729516811
253	0.005709842922
254	0.005675942606
255	0.005642696242
256	0.005613736638
257	0.00559895114
258	0.005573097929
259	0.005475638951
260	0.005455496954
261	0.005428248426
262	0.005392707375
263	0.005378867359
264	0.005367185565
265	0.005340563486
266	0.00529973263
267	0.005272458714
268	0.005223774987
269	0.005197575673
270	0.005167006867
271	0.005134440974
272	0.005112561204
273	0.005078043069
274	0.005048102429
275	0.005010690277
276	0.004968113215
277	0.004946622268
278	0.004913189868
279	0.004900510622
280	0.004872625558
281	0.004847777725
282	0.004796836145
283	0.004781914564
284	0.004768686176
285	0.00475041465
286	0.004719125764
287	0.004699733596
288	0.004691540614
289	0.004665111765
290	0.004647091599
291	0.004603578784
292	0.004591802724
293	0.004566576758
294	0.004566576758
295	0.004566576758
296	0.004566576758
297	0.004566576758
298	0.004566576758
299	0.004566576758
290791651
